GRAVEDAD;NOMBRE_MES;ANO;CANTIDAD;FECHA
Herido;Enero;2019;1889;2019-01-01
Herido;Febrero;2019;1882;2019-02-01
Herido;Marzo;2019;1915;2019-03-01
Herido;Abril;2019;1866;2019-04-01
Herido;Mayo;2019;1955;2019-05-01
Herido;Junio;2019;1772;2019-06-01
Herido;Julio;2019;1907;2019-07-01
Herido;Agosto;2019;1938;2019-08-01
Herido;Septiembre;2019;1861;2019-09-01
Herido;Octubre;2019;1838;2019-10-01
Herido;Noviembre;2019;1779;2019-11-01
Herido;Diciembre;2019;1761;2019-12-01
Herido;Enero;2020;1865;2020-01-01
Herido;Febrero;2020;1859;2020-02-01
Herido;Marzo;2020;1851;2020-03-01
Herido;Abril;2020;1808;2020-04-01
Herido;Mayo;2020;1853;2020-05-01
Herido;Junio;2020;1753;2020-06-01
Herido;Julio;2020;1840;2020-07-01
Herido;Agosto;2020;1832;2020-08-01
Herido;Septiembre;2020;1797;2020-09-01
Herido;Octubre;2020;1774;2020-10-01
Herido;Noviembre;2020;1730;2020-11-01
Herido;Diciembre;2020;1759;2020-12-01
Muerto;Enero;2019;21;2019-01-01
Muerto;Febrero;2019;20;2019-02-01
Muerto;Marzo;2019;20;2019-03-01
Muerto;Abril;2019;20;2019-04-01
Muerto;Mayo;2019;19;2019-05-01
Muerto;Junio;2019;19;2019-06-01
Muerto;Julio;2019;19;2019-07-01
Muerto;Agosto;2019;19;2019-08-01
Muerto;Septiembre;2019;18;2019-09-01
Muerto;Octubre;2019;18;2019-10-01
Muerto;Noviembre;2019;18;2019-11-01
Muerto;Diciembre;2019;17;2019-12-01
Muerto;Enero;2020;20;2020-01-01
Muerto;Febrero;2020;20;2020-02-01
Muerto;Marzo;2020;20;2020-03-01
Muerto;Abril;2020;19;2020-04-01
Muerto;Mayo;2020;19;2020-05-01
Muerto;Junio;2020;19;2020-06-01
Muerto;Julio;2020;18;2020-07-01
Muerto;Agosto;2020;18;2020-08-01
Muerto;Septiembre;2020;18;2020-09-01
Muerto;Octubre;2020;18;2020-10-01
Muerto;Noviembre;2020;17;2020-11-01
Muerto;Diciembre;2020;17;2020-12-01
Solo Daño;Enero;2019;1452;2019-01-01
Solo Daño;Febrero;2019;1602;2019-02-01
Solo Daño;Marzo;2019;1741;2019-03-01
Solo Daño;Abril;2019;1638;2019-04-01
Solo Daño;Mayo;2019;1785;2019-05-01
Solo Daño;Junio;2019;1584;2019-06-01
Solo Daño;Julio;2019;1732;2019-07-01
Solo Daño;Agosto;2019;1747;2019-08-01
Solo Daño;Septiembre;2019;1714;2019-09-01
Solo Daño;Octubre;2019;1761;2019-10-01
Solo Daño;Noviembre;2019;1681;2019-11-01
Solo Daño;Diciembre;2019;1770;2019-12-01
Solo Daño;Enero;2020;1465;2020-01-01
Solo Daño;Febrero;2020;1659;2020-02-01
Solo Daño;Marzo;2020;1724;2020-03-01
Solo Daño;Abril;2020;1636;2020-04-01
Solo Daño;Mayo;2020;1720;2020-05-01
Solo Daño;Junio;2020;1592;2020-06-01
Solo Daño;Julio;2020;1761;2020-07-01
Solo Daño;Agosto;2020;1715;2020-08-01
Solo Daño;Septiembre;2020;1758;2020-09-01
Solo Daño;Octubre;2020;1763;2020-10-01
Solo Daño;Noviembre;2020;1644;2020-11-01
Solo Daño;Diciembre;2020;1758;2020-12-01
